anthropic.claude-sonnet-4-20250514-v1:0 | ACTIVE
anthropic.claude-haiku-4-5-20251001-v1:0 | ACTIVE
anthropic.claude-sonnet-4-6 | ACTIVE
anthropic.claude-opus-4-6-v1 | ACTIVE
anthropic.claude-sonnet-4-5-20250929-v1:0 | ACTIVE
anthropic.claude-opus-4-1-20250805-v1:0 | ACTIVE
anthropic.claude-opus-4-5-20251101-v1:0 | ACTIVE
anthropic.claude-3-sonnet-20240229-v1:0:28k | LEGACY
anthropic.claude-3-sonnet-20240229-v1:0:200k | LEGACY
anthropic.claude-3-sonnet-20240229-v1:0 | LEGACY
anthropic.claude-3-haiku-20240307-v1:0:48k | ACTIVE
anthropic.claude-3-haiku-20240307-v1:0:200k | ACTIVE
anthropic.claude-3-haiku-20240307-v1:0 | ACTIVE
anthropic.claude-3-5-sonnet-20240620-v1:0 | LEGACY
anthropic.claude-3-5-sonnet-20241022-v2:0 | LEGACY
anthropic.claude-3-7-sonnet-20250219-v1:0 | LEGACY
anthropic.claude-3-5-haiku-20241022-v1:0 | ACTIVE
anthropic.claude-opus-4-20250514-v1:0 | LEGACY
